ticket_id,description,root_cause,resolution
KAFKA-12235,"ZkAdminManager.describeConfigs returns no config when 2+ configuration keys are specified. When {{ZkAdminManager.describeConfigs}} receives {{DescribeConfigsResource}} with 2 or more {{configurationKeys}} specified, it returns an empty configuration.  Here's a test for {{ZkAdminManagerTest}} that reproduces this issue:    {code:scala} @Test def testDescribeConfigsWithConfigurationKeys(): Unit = {   EasyMock.expect(zkClient.getEntityConfigs(ConfigType.Topic, topic)).andReturn(TestUtils.createBrokerConfig(brokerId, ""zk""))   EasyMock.expect(metadataCache.contains(topic)).andReturn(true)    EasyMock.replay(zkClient, metadataCache)    val resources = List(new DescribeConfigsRequestData.DescribeConfigsResource()     .setResourceName(topic)     .setResourceType(ConfigResource.Type.TOPIC.id)     .setConfigurationKeys(List(""retention.ms"", ""retention.bytes"", ""segment.bytes"").asJava)   )  ",ZkAdminManager.describeConfigs returns no config when 2+ configuration keys are specified.,https://github.com/apache/kafka/pull/9990
KAFKA-12233,"Align the length passed to FileChannel by `FileRecords.writeTo`. [https://github.com/apache/kafka/pull/2140/files#r563471404]  we set `int count = Math.min(length, oldSize)`, but we are expected to write from `offset`, so the count should be `Math.min(length, oldSize - offset)`.",Align the length passed to FileChannel by `FileRecords.writeTo`.,"[~chia7712] Thank you, I inspected it again, and below is my understanding.  # FileRecords.writeTo is called my `RecordSend` and the method signature is `writeTo(TransferableChannel channel, long prev | {quote} `FileRecords.writeTo` set length incorrectly {quote}  Pardon me, I don't observe the error. ""oldSize"" is NOT an (end) index of file. Hence, we do get the correct new offset (start + input offs"
KAFKA-12219,"Potential race condition in InMemoryKeyValueStore. With KAFKA-8802 (included in [2.4.0 release|https://downloads.apache.org/kafka/2.4.0/RELEASE_NOTES.html]), {{ConcurrentSkipListMap}} in {{InMemoryKeyValueStore}} was reverted into {{TreeMap}} for performance issues. However, the {{synchronized}} keyword for {{reverseRange}}, {{reverseAll}} methods were omitted when adding the reverse range methods in 2.7, leaving possibility of race condition.",Potential race condition in InMemoryKeyValueStore.,Fixed
KAFKA-12211,"NoSuchFileException will be thrown if hasPersistentStores is false when creating stateDir. We improved the state directory folder/file permission setting in KAFKA-10705. But we forgot to consider one situation: if user doesn't have PersistentStores, we won't need to create base dir and state dir. And if there's no such dir/file, and we tried to set permission to them, we'll have *NoSuchFileException*      {code:java} ERROR Error changing permissions for the state or base directory /var/folders/4l/393lkmzx3zvftwynjngzdsfw0000gn/T/kafka-11254487964259813330/appId_AdjustStreamThreadCountTestshouldAddStreamThread  (org.apache.kafka.streams.processor.internals.StateDirectory:117) 2021-01-15T16:10:44.570+0800 [DEBUG] [TestEventLogger]     java.nio.file.NoSuchFileException: /var/folders/4l/393lkmzx3zvftwynjngzdsfw0000gn/T/kafka-11254487964259813330/appId_AdjustStreamThreadCountTestshou","consider one situation: if user doesn't have PersistentStores, we won't need to create base dir and state dir.",Just re-opening this ticket while we get the fix merged to 2.6 for the 2.6.2 release
KAFKA-12195,Fix synchronization issue happening in KafkaStreams (related to flaky AdjustStreamThreadCountTest). {code} threads = Collections.synchronizedList(new LinkedList<>()); {code}  The synchronization list requires us to manually synchronize the iterator. non-synchronizing the list results in inconsistent results and consequently unstabilize the AdjustStreamThreadCountTest.,Not explicitly documented.,Fixed
KAFKA-12193,"Re-resolve IPs when a client is disconnected. If `client.dns.lookup` is set to `use_all_dns_ips` or `resolve_canonical_bootstrap_servers_only`, the NetworkClient can store multiple IPs for each node, and currently it tries each IP in the list when connecting before re-resolving the IPs. This is useful when first establishing a connection because it ensures that the client exhausts all possible IPs. However, in the case where the IPs changed after a connection was already established, this would cause a reconnecting client to try several invalid IPs before re-resolving and trying a valid one. Instead, we should re-resolve DNS when a client disconnects from an established connection, rather than assuming the all previously-resolved IPs are still valid.",it ensures that the client exhausts all possible IPs.,Fixed
KAFKA-12190,"Failure on Windows due to an UnsupportedOperationException when StateDirectory sets file permissions. There appears to be a regression in Kafka 2.6.1 due to [the changes|https://github.com/apache/kafka/pull/9583] made for KAFKA-10705 that causes a failure on Windows. After upgrading to 2.6.1 from 2.6.0, we're seeing failures in Spring Boot's CI on Windows such as the following:  {noformat} Caused by: java.lang.UnsupportedOperationException: (No message provided)             at java.nio.file.Files.setPosixFilePermissions(Files.java:2044)             at org.apache.kafka.streams.processor.internals.StateDirectory.<init>(StateDirectory.java:115)             at org.apache.kafka.streams.KafkaStreams.<init>(KafkaStreams.java:745)             at org.apache.kafka.streams.KafkaStreams.<init>(KafkaStreams.java:585)             at org.springframework.kafka.config.StreamsBuilderFactoryBean.start(Stream",The state-directory permission handling calls an unsupported file-permission operation on the target filesystem.,"Hi [~mjsax] sure! I searched for the issue on Jira, but didn't find it, that's why the duplicated Jira ticket and the PR. Looking forward for the [~awilkinson] 's fix! | [~awilkinson] Thanks for the PR. I added you to the list of contributors and assigned this ticket to you. You can now also self-assign tickets. | [~iponomarev] Thanks for chiming it – [~awilkinson] was working on this issue already and also did a PR. – I would prefer to review and merge Andy's PR, because he was the first one who reported the i"
KAFKA-12185,Flaky Test StoreQueryIntegrationTest#shouldQueryAllStalePartitionStores. {{{{java.lang.AssertionError: Application did not reach a RUNNING state for all streams instances. Non-running instances: \{org.apache.kafka.streams.KafkaStreams@651720d3=NOT_RUNNING} 	at org.junit.Assert.fail(Assert.java:89) 	at org.apache.kafka.streams.integration.utils.IntegrationTestUtils.startApplicationAndWaitUntilRunning(IntegrationTestUtils.java:892) 	at org.apache.kafka.streams.integration.StoreQueryIntegrationTest.shouldQueryAllStalePartitionStores(StoreQueryIntegrationTest.java:270)}}}}     {{https://github.com/apache/kafka/pull/9835/checks?check_run_id=1666639314}},Not explicitly documented.,"I just saw this fail locally and happened to notice this in the logs:    {code:java}  [2021-01-20 13:03:55,375] ERROR stream-client [app-StoreQueryIntegrationTestshouldQueryAllStalePartitionStores-ba1"
KAFKA-12170,"Connect Cast cannot deal with fields of type ""bytes"" correctly. Cast operation on a field of type bytes to a string returns the default ByteBuffer representation, not the content. For example, a field called ""payload"" of type bytes transformed in this way:  payload:string  Returns the result   ""payload"":\{""string"":""java.nio.HeapByteBuffer[pos=0 lim=4 cap=4]""}  We propose instead to represent the byte array as a hex string  ""payload"":\{""string"":""FFEEDDAABB123F""}","Connect Cast cannot deal with fields of type ""bytes"" correctly.","https://github.com/apache/kafka/pull/9950 | Thanks a lot. I work for Confluent, somewhat familiar to Kafka :) | [~seknop] welcome to Kafka :)  I have assigned this issue to you."
KAFKA-12165,"org.apache.kafka.common.quota classes omitted from Javadoc. The public API classes in `org.apache.kafka.common.quota` should be included in the javadoc, but are currently omitted. E.g. see https://kafka.apache.org/27/javadoc/org/apache/kafka/clients/admin/Admin.html#alterClientQuotas-java.util.Collection-",org.apache.kafka.common.quota classes omitted from Javadoc.,Fixed
KAFKA-12160,"KafkaStreams configs are documented incorrectly. In version 2.3, we removed the KafkaStreams default of `max.poll.interval.ms` and fall-back to the consumer default. However, the docs still contain `Integer.MAX_VALUE` as default.  Because we rely on the consumer default, we should actually remove `max.poll.interval.ms` from the Kafka Streams docs completely. We might want to fix this is some older versions, too. Not sure how far back we want to go.  Furhtermore, in 2.7 docs, the section of ""Default Values"" and ""Parameters controlled by Kafka Streams"" contain incorrect information.  cf https://kafka.apache.org/27/documentation/streams/developer-guide/config-streams.html#default-values   ","we rely on the consumer default, we should actually remove `max.poll.interval.ms` from the Kafka Streams docs completely.",Fixed
KAFKA-12153,"follower can hit OffsetOutOfRangeException during truncation. Currently, we have the following code path.  log.truncateTo() => updateLogEndOffset() => updateHighWatermarkMetadata() => maybeIncrementFirstUnstableOffset() => convertToOffsetMetadataOrThrow() => read()  This path seems problematic. The issue is that updateLogEndOffset() is called before loadProducerState() in log.truncateTo(). At that point, the producerState is not reflecting the truncated state yet and producerStateManager.firstUnstableOffset(called in maybeIncrementFirstUnstableOffset() to feed read()) could return an offset larger than the truncated logEndOffset, which will lead to OffsetOutOfRangeException.     This issue is relatively rare since it requires truncation below the high watermark.",that updateLogEndOffset() is called before loadProducerState() in log.truncateTo().,Fixed
KAFKA-12152,"Idempotent Producer does not reset the sequence number of partitions without in-flight batches. When a `OutOfOrderSequenceException` error is received by an idempotent producer for a partition, the producer bumps its epoch, adjusts the sequence number and the epoch of the in-flight batches of the partitions affected by the `OutOfOrderSequenceException` error. This happens in `TransactionManager#bumpIdempotentProducerEpoch`.  The remaining partitions are treated separately. When the last in-flight batch of a given partition is completed, the sequence number is reset. This happens in `TransactionManager#handleCompletedBatch`.  However, when a given partition does not have in-flight batches when the producer epoch is bumped, its sequence number is not reset. It results in having subsequent producer request to use the new producer epoch with the old sequence number and to be rejected by ",Idempotent Producer does not reset the sequence number of partitions without in-flight batches.,Fixed
KAFKA-10895,"Basic auth extension's JAAS config can be corrupted by other plugins. The Connect [BasicAuthSecurityRestExtension|https://github.com/apache/kafka/blob/trunk/connect/basic-auth-extension/src/main/java/org/apache/kafka/connect/rest/basic/auth/extension/BasicAuthSecurityRestExtension.java]'s doc states that ""An entry with the name {{KafkaConnect}} is expected in the JAAS config file configured in the JVM.""  This is technically accurate, as the [JaasBasicAuthFilter|https://github.com/apache/kafka/blob/afa5423356d3d2a2135a51200573b45d097f6d60/connect/basic-auth-extension/src/main/java/org/apache/kafka/connect/rest/basic/auth/extension/JaasBasicAuthFilter.java#L61-L63] that the extension installs creates a {{LoginContext}} using a [constructor|https://docs.oracle.com/javase/8/docs/api/javax/security/auth/login/LoginContext.html#LoginContext-java.lang.String-javax.","The Connect [BasicAuthSecurityRestExtension| doc states that ""An entry with the name `KafkaConnect` is expected in the JAAS config file configured in the JVM."" This is technically accurate, as the [JaasBasicAuthFilter| that the extension installs creates a `LoginContext` using a [constructor|.","The regression has been fixed and the fix has been applied to the same target branches. No release took place in the meantime | Reopening as the original fix included a small regression. | At the moment, I think that it's fine to cache the earliest-available {{Configuration}} and use that exclusively in the basic auth extension. It seems highly unlikely that a runtime-installed JAAS con"
KAFKA-10894,Null replica nodes included in client quota callback Cluster. I noticed an NPE in the client quota callback `updateClusterMetadata` due to the presence of null nodes inside a `PartitionInfo` instance. Here is the trace: {code} java.lang.NullPointerException 	at org.apache.kafka.common.PartitionInfo.formatNodeIds(PartitionInfo.java:143) 	at org.apache.kafka.common.PartitionInfo.toString(PartitionInfo.java:132) 	at java.base/java.lang.String.valueOf(String.java:3388) 	at java.base/java.lang.StringBuilder.append(StringBuilder.java:167) 	at java.base/java.util.AbstractCollection.toString(AbstractCollection.java:457) 	at java.base/java.util.Collections$UnmodifiableCollection.toString(Collections.java:1042) 	at java.base/java.lang.String.valueOf(String.java:3388) 	at java.base/java.lang.StringBuilder.append(StringBuilder.java:167) 	at org.apache.kafka.comm,the presence of null nodes inside a `PartitionInfo` instance.,Fixed
KAFKA-10870,"Consumer should handle REBALANCE_IN_PROGRESS from JoinGroup. We hit a timeout when persisting group metadata to the __consumer_offsets topic: {code} [2020-12-18 18:06:08,209] DEBUG [GroupMetadataManager brokerId=1] Metadata from group test_group_id with generation 1 failed when appending to log due to org.apache.kafka.common.errors.TimeoutException (kafka.coordinator.group.GroupMetadataManager) [2020-12-18 18:06:08,210] WARN [GroupCoordinator 1]: Failed to persist metadata for group test_group_id: The group is rebalancing, so a rejoin is needed. (kafka.coordinator.group.GroupCoordinator) {code}  This in turn resulted in a REBALANCE_IN_PROGRESS being returned from the JoinGroup:  {code} [2020-12-18 18:06:08,211] INFO Completed request:RequestHeader(apiKey=JOIN_GROUP, apiVersion=7, clientId=consumer-test_group_id-test_group_id-instance-1, correlationI",Consumer should handle REBALANCE_IN_PROGRESS from JoinGroup.,Fixed
KAFKA-10861,Flaky test `TransactionsTest.testFencingOnSendOffsets`. {code} org.scalatest.exceptions.TestFailedException: Got an unexpected exception from a fenced producer. 	at org.scalatest.Assertions.newAssertionFailedException(Assertions.scala:530) 	at org.scalatest.Assertions.newAssertionFailedException$(Assertions.scala:529) 	at org.scalatest.Assertions$.newAssertionFailedException(Assertions.scala:1389) 	at org.scalatest.Assertions.fail(Assertions.scala:1107) 	at org.scalatest.Assertions.fail$(Assertions.scala:1103) 	at org.scalatest.Assertions$.fail(Assertions.scala:1389) 	at kafka.api.TransactionsTest.testFencingOnSendOffsets(TransactionsTest.scala:373) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at Caused by: org.apache.kafka.common.errors.InvalidProducerEpochException: Producer attempted to produce with an old epoch (producer,Not explicitly documented.,Fixed
KAFKA-10855,"Non-local return in envelope validation in causes unexpected response send. `KafkaApis.handle` uses the following logic to validate the envelope: ```       request.envelope.foreach { envelope =>         if (maybeHandleInvalidEnvelope(envelope, request.header.apiKey)) {           return         }       } ``` Since this is a non-local return, scala raises an exception, which then causes `handleError` to get invoked, which sends an error response.",Non-local return in envelope validation in causes unexpected response send.,Fixed
KAFKA-10846,"FileStreamSourceTask buffer can grow without bound. When reading a large file the buffer used by {{FileStreamSourceTask}} can grow without bound. Even in the unit test org.apache.kafka.connect.file.FileStreamSourceTaskTest#testBatchSize the buffer grows from 1,024 to 524,288 bytes just reading 10,000 copies of a line of <100 chars.  The problem is that the condition for growing the buffer is incorrect. The buffer is doubled whenever some bytes were read and the used space in the buffer == the buffer length. The requirement to increase the buffer size should be related to whether {{extractLine()}} actually managed to read any lines. It's only when no complete lines were read since the last call to {{read()}} that we need to increase the buffer size (to cope with the large line). ",that the condition for growing the buffer is incorrect.,Fixed
KAFKA-10832,"Recovery logic is using incorrect ProducerStateManager instance when updating producers . The bug is that from within {{Log.updateProducers(…)}}, the code operates on the {{producerStateManager}} attribute of the {{Log}} instance instead of operating on an input parameter. Please see [this|https://github.com/apache/kafka/blob/1d84f543678c4c08800bc3ea18c04a9db8adf7e4/core/src/main/scala/kafka/log/Log.scala#L1464] LOC where it calls {{producerStateManager.prepareUpdate}} thus accessing the attribute from the {{Log}} object (see [this|https://github.com/apache/kafka/blob/1d84f543678c4c08800bc3ea18c04a9db8adf7e4/core/src/main/scala/kafka/log/Log.scala#L251]). This looks unusual particularly for {{Log.loadProducersFromLog(...)}} [path|https://github.com/apache/kafka/blob/1d84f543678c4c08800bc3ea18c04a9db8adf7e4/core/src/main/scala/kafka/log/Log.scala#L956]. Here I believe we should ","that from within `Log.updateProducers(…)`, the code operates on the `producerStateManager` attribute of the `Log` instance instead of operating on an input parameter.",Merged the PR to trunk.
KAFKA-10813,"StreamsProducer should catch InvalidProducerEpoch and throw TaskMigrated in all cases. We fixed the error code handling on producer in https://issues.apache.org/jira/browse/KAFKA-10687, however the newly thrown `InvalidProducerEpoch` exception was not properly handled on Streams side in all cases. We should catch it and rethrow as TaskMigrated to trigger exception, similar to ProducerFenced.",StreamsProducer should catch InvalidProducerEpoch and throw TaskMigrated in all cases.,Fixed
KAFKA-10811,"System exit from MirrorConnectorsIntegrationTest#testReplication. The MirrorConnectorsIntegrationTest::testReplication has been very frequently causing the build to fail with:  {noformat} FAILURE: Build failed with an exception. 13:50:17   13:50:17  * What went wrong: 13:50:17  Execution failed for task ':connect:mirror:integrationTest'. 13:50:17  > Process 'Gradle Test Executor 52' finished with non-zero exit value 1 13:50:17    This problem might be caused by incorrect test process configuration. 13:50:17    Please refer to the test execution section in the User Manual at https://docs.gradle.org/6.7.1/userguide/java_testing.html#sec:test_execution {noformat}  Even running this locally resulted in mostly failures, and specifically the `MirrorConnectorsIntegrationTest::testReplication` test method reliably fails due to the process being exited.  [~ChrisE",System exit from MirrorConnectorsIntegrationTest#testReplication.,"Merged to `trunk`, backported to `2.7` (with agreement from [~bbejeck]) to avoid build failures.   Also backported to `2.6` and `2.5`, though this included a few more lines from the `MirrorConnectorsI"
KAFKA-10803,"Skip improper dynamic configs while initialization and include the rest correct ones. There is [a bug|https://github.com/apache/kafka/blob/trunk/core/src/main/scala/kafka/server/DynamicBrokerConfig.scala#L470] in how incorrect dynamic config keys are removed from the original Properties list, resulting in persisting the improper configs in the properties list.  This eventually results in exception being thrown while parsing the list by [KafkaConfig ctor|https://github.com/apache/kafka/blob/trunk/core/src/main/scala/kafka/server/DynamicBrokerConfig.scala#L531], resulting in skipping of the complete dynamic list (including the correct ones).",Skip improper dynamic configs while initialization and include the rest correct ones.,PR: https://github.com/apache/kafka/pull/9682
KAFKA-10799,AlterIsr path does not update ISR shrink/expand meters. We forgot to update the ISR change metrics when we added support for AlterIsr. These are currently only updated when ISR changes are made through Zk.,update the ISR change metrics when we added support for AlterIsr.,Fixed
KAFKA-10798,"Failed authentication delay doesn't work with some SASL authentication failures. KIP-306 introduced the config `connection.failed.authentication.delay.ms` to delay connection closing on brokers for failed authentication to limit the rate of retried authentications from clients in order to avoid excessive authentication load on brokers from failed clients. We rely on authentication failure response to be delayed in this case to prevent clients from detecting the failure and retrying sooner.  SaslServerAuthenticator delays response for SaslAuthenticationException, but not for SaslException, even though SaslException is also converted into SaslAuthenticationException and processed as an authentication failure by both server and clients. As a result, connection delay is not applied in many scenarios like SCRAM authentication failures.",Failed authentication delay doesn't work with some SASL authentication failures.,Fixed
KAFKA-10793,"Race condition in FindCoordinatorFuture permanently severs connection to group coordinator. Pretty much as soon as we started actively monitoring the _last-rebalance-seconds-ago_ metric in our Kafka Streams test environment, we started seeing something weird. Every so often one of the StreamThreads (ie a single Consumer instance) would appear to permanently fall out of the group, as evidenced by a monotonically increasing _last-rebalance-seconds-ago._ We inject artificial network failures every few hours at most, so the group rebalances quite often. But the one consumer never rejoins, with no other symptoms (besides a slight drop in throughput since the remaining threads had to take over this member's work). We're confident that the problem exists in the client layer, since the logs confirmed that the unhealthy consumer was still calling poll. It was also calling Consumer#committ","But the one consumer never rejoins, with no other symptoms (besides a slight drop in throughput since the remaining threads had to take over this member's work).","cc [~hachikuji] [~ijuma] Hopefully we nailed it this time! :) | So that's our best guess. We should discuss the solution on the PR, but I'll lay out the two possibilities I see here in case anyone has any better ideas.  1) synchronize joinGroupIfNeeded() 2) clear  | [~ableegoldman] I want to check whether the heartbeat Thread will check the status , thanks. "
KAFKA-10792,"Source tasks can block herder thread by hanging during stop. If a source task blocks during its {{stop}} method, the herder thread will also block, which can cause issues with detecting rebalances, reconfiguring connectors, and other vital functions of a Connect worker.  This occurs because the call to {{SourceTask::stop}} occurs on the herder's thread, instead of on the source task's own dedicated thread. This can be fixed by moving the call to {{SourceTask::stop}} onto the source task's dedicated thread and aligning with the current approach for {{Connector}} instances and {{SinkTask}} instances.","the call to `SourceTask::stop` occurs on the herder's thread, instead of on the source task's own dedicated thread.","Thanks for the backport PR for the `2.5` branch, [~ChrisEgerton]. I've merged it to the `2.5` branch for inclusion in the next patch release (2.5.2). | I've opened [https://github.com/apache/kafka/pull/9880] to backport to 2.5. | Backported/merged to the `2.6` branch for inclusion in the next patch release (2.6.2)."
KAFKA-10779,"Reassignment tool sets throttles incorrectly when overriding a reassignment. The logic in `ReassignPartitionsCommand.calculateProposedMoveMap` assumes that adding replicas are not included in the replica set returned from `Metadata` or `ListPartitionReassignments`.  This is evident in the test case `ReassignPartitionsUnitTest.testMoveMap`. Because of this incorrect assumption, the move map is computed incorrectly which can result in the wrong throttles being applied. As far as I can tell, this is only an issue when overriding an existing reassignment. ","of this incorrect assumption, the move map is computed incorrectly which can result in the wrong throttles being applied.",Fixed
KAFKA-10778,"Stronger log fencing after write failure. If a log append operation fails with an IO error, the broker attempts to fail the log dir that it resides in. Currently this is done asynchronously, which means there is no guarantee that additional appends won't be attempted before the log is fenced. This can be a problem for EOS because of the need to maintain consistent producer state.  1. Iterate through batches to build producer state and collect completed transactions 2. Append the batches to the log  3. Update the offset/timestamp indexes 4. Update log end offset 5. Apply individual producer state to `ProducerStateManager` 6. Update the transaction index 7. Update completed transactions and advance LSO  One example of how this process can go wrong is if the index updates in step 3 fail. In this case, the log will contain updated pro",of the need to maintain consistent producer state. 1.,Fixed
KAFKA-10776,"JMX metric RequestsPerSec requires API version to access. JMX metric for ""kafka.network:type=RequestMetrics,name=RequestsPerSec,request=Produce"" seems to require the API version by adding ""version=8"" at the end of JMX metric name. {noformat} badai@Badai-Aqrandista-MBP15 % bin/kafka-run-class kafka.tools.JmxTool --jmx-url service:jmx:rmi:///jndi/rmi://127.0.0.1:9999/jmxrmi -object-name kafka.network:type=RequestMetrics,name=RequestsPerSec,request=Produce           Trying to connect to JMX url: service:jmx:rmi:///jndi/rmi://127.0.0.1:9999/jmxrmi. No matched attributes for the queried objects ArrayBuffer(kafka.network:type=RequestMetrics,name=RequestsPerSec,request=Produce). {noformat}   {noformat} badai@Badai-Aqrandista-MBP15 % bin/kafka-run-class kafka.tools.JmxTool --jmx-url service:jmx:rmi:///jndi/rmi://127.0.0.1:9999/jmxrmi -object-name kafka.n",JMX metric RequestsPerSec requires API version to access.,"Ok. Thanks for pointing that out Ismael. | [~ijuma], you're right! This is actually a documentation miss, the version attribute is required to match the Kafka version. Thanks. | See https://cwiki.apache.org/confluence/display/KAFKA/KIP-272%3A+Add+API+version+tag+to+broker%27s+RequestsPerSec+metric"
KAFKA-10763,"Task already exists error on same worker due to skip removal of tasks. In our production environment, upon start two KafkaConnect workers, during the first couple of minutes, the leader bounces between worker1 and worker2. And a lot of tasks throw Task already exists in this worker exception on worker2.  The sequence of events:  worker2(hostname:sinkdp2)  gen3 assign  Start task 1  gen4 assign task 1  gen5 assign task 1  gen6 skip stopping task 1 and removal due to rebalance unresolved  revoke  gen7 assign task 1  Start task 1(Task already exists eror)     Worker1(hostname: sinkdp1) {code:java} 03:36:07,340 [INFO ] [Worker clientId=connect-1, groupId=group_connect_sink_dp] Rebalance started   [DistributedHerder-connect-1][WorkerCoordinator.java:233] 03:36:10,460 [INFO ] [Worker clientId=connect-1, groupId=group_connect_sink_dp] Joined group at generation 1 wi","rebalance unresolved revoke gen7 assign task 1 Start task 1(Task already exists eror) Worker1(hostname: sinkdp1) 03:36:07,340 [INFO ] [Worker clientId=connect-1, groupId=group_connect_sink_dp] Rebalance started [DistributedHerder-connect-1][WorkerCoordinator.java:233] 03:36:10,460 [INFO ] [Worker clientId=connect-1, groupId=group_connect_sink_dp] Joined group at generation 1 wi.",Fixed
KAFKA-10758,"Kafka Streams consuming from a pattern goes to PENDING_SHUTDOWN when adding a new topic. I have a simple Kafka Stream app that consumes from multiple input topics using the _stream_ function that accepts a Pattern ([link|https://kafka.apache.org/26/javadoc/org/apache/kafka/streams/StreamsBuilder.html#stream-java.util.regex.Pattern-]).   Whenever I add a new topic that matches the pattern the kafka stream state goes to REBALANCING -> ERROR -> PENDING_SHUTDOWN . If I restart the app it correctly starts reading again without problems. It is by design? Should I handle this and simply restart the app?   Kafka Stream version is 2.6.0. The error is the following: {code:java} ERROR o.a.k.s.p.i.ProcessorTopology - Set of source nodes do not match: sourceNodesByName = [KSTREAM-SOURCE-0000000003, KSTREAM-SOURCE-0000000002] sourceTopicsByName = [KSTREAM-SOURCE-0000000000, KSTREAM-SOURCE-0","Adding a new topic that matches a regex source changes the source-node/topic mapping, leaving the topology with mismatched source nodes and causing the stream to enter an error/shutdown state.","[~ableegoldman] Thank you very much! | Hey [~davideicardi], thanks for submitting this ticket. Looks like there's a bug in the topic update logic. I've opened a PR which we should be able to get into the 2.6.1 and 2.7.0 releases.  Just to  | Also, to be more precise, the error doesn't happen exactly when I add the topic. But I think it happens when the app try to refresh the topics information. I think every 5 mins by default. Right?"
KAFKA-10757,KAFKA-10755 brings a compile error . The `new TaskManager` has 10 params but StreamThreadTest call a `new StreamThreadTest` with 9 params.,KAFKA-10755 brings a compile error.,Fixed
KAFKA-10755,"Should consider commit latency when computing next commit timestamp. In 2.6, we reworked the main processing/commit loop in `StreamThread` and introduced a regression, by _not_ updating the current time after committing. This implies that we compute the next commit timestamp too low (ie, too early).  For small commit intervals and high commit latency (like in EOS), this big may lead to an increased commit frequency and fewer processed records between two commits, and thus to reduced throughput.  For example, assume that the commit interval is 100ms and the commit latency is 50ms, and we start the commit at timestamp 10000. The commit finishes at 10050, and the next commit should happen at 10150. However, if we don't update the current timestamp, we incorrectly compute the next commit time as 10100, ie, 50ms too early, and we have only 50ms to process data i","In 2.6, we reworked the main processing/commit loop in `StreamThread` and introduced a regression, by _not_ updating the current time after committing.","After reconsideration, I think we should get this into 2.7.0 release, too. \cc [~bbejeck] | Cherry-picked to `2.6` branch, but don't set fix version `2.6.1` yet, as we don't know if there will be a new RC that will contain the fix. \cc [~mimaison]  This must be cherry-picked to `2.7` after t"
KAFKA-10727,"Kafka clients throw AuthenticationException during Kerberos re-login. During Kerberos re-login, we log out and login again. There is a timing issue where the principal in the Subject has been cleared, but a new one hasn't been populated yet. We need to ensure that we don't throw AuthenticationException in this case to avoid Kafka clients (consumer/producer etc.) failing instead of retrying.",Kafka clients throw AuthenticationException during Kerberos re-login.,Fixed
KAFKA-10723,"LogManager leaks internal thread pool activity during shutdown. *TL;DR:*  The asynchronous shutdown in {{LogManager}} has the shortcoming that if during shutdown any of the internal futures fail, then we do not always ensure that all futures are completed before {{LogManager.shutdown}} returns. As a result, despite the shut down completed message from KafkaServer is seen in the error logs, some futures continue to run from inside LogManager attempting to close the logs. This is misleading and it could possibly break the general rule of avoiding post-shutdown activity in the Broker.  *Description:*  When LogManager is shutting down, exceptions in log closure are handled [here|https://github.com/apache/kafka/blob/trunk/core/src/main/scala/kafka/log/LogManager.scala#L497-L501]. However, this [line|https://github.com/apache/kafka/blob/trunk/core/src/main/s","LogManager leaks internal thread pool activity during shutdown. *TL;DR:* The asynchronous shutdown in `LogManager` has the shortcoming that if during shutdown any of the internal futures fail, then we do not always ensure that all futures are completed before `LogManager.shutdown` returns.",merged to trunk
KAFKA-10722,"Timestamped store is used even if not desired. I have a stream which I then group and aggregate (this results in a KTable). When aggregating, I explicitly tell to materialize the result table using a usual (not timestamped) store.  After that, the KTable is filtered and streamed. This stream is processed by a processor that accesses the store.  The problem/bug is that even if I tell to use a non-timestamped store, a timestamped one is used, which leads to a ClassCastException in the processor (it iterates over the store and expects the items to be of type ""KeyValue"" but they are of type ""ValueAndTimestamp"").  Here is the code (schematically).  First, I define the topology: {code:java} KTable table = ...aggregate(   initializer, // initializer for the KTable row   aggregator, // aggregator   Materialized.as(Stores.persistentKeyValueStor","that even if I tell to use a non-timestamped store, a timestamped one is used, which leads to a ClassCastException in the processor (it iterates over the store and expects the items to be of type ""KeyValue"" but they are of type ""ValueAndTimestamp"").","Added you to the list of contributors and assigned the ticket to you. You can now also self-assign tickets.  Thanks for reporting the issue and for helping to improve the JavaDocs. | I've created [https://github.com/apache/kafka/pull/9606] and [https://github.com/apache/kafka/pull/9607]. | {quote}I'm fully satisfied now  {quote} Glad to hear :)  About the docs: I would not put it into the ""core concepts"" sections, as this section talks about state stores only in a more abstract/conceptu"
KAFKA-10716,"Streams processId is unstable across restarts resulting in task mass migration. The new high availability feature of KIP-441 relies on deterministic assignment to produce an eventually-stable assignment. The HighAvailabilityTaskAssignor assigns tasks based on the unique processId assigned to each client, so if the same set of Kafka Streams applications participate in a rebalance it should generate the same task assignment every time.  Unfortunately the processIds aren't stable across restarts. We generate a random UUID in the KafkaStreams constructor, so each time the process starts up it would be assigned a completely different processId. Unless this new processId happens to be in exactly the same order as the previous one, a single bounce or crash/restart can result in a large scale shuffling of tasks based on a completely different eventual assignment.  Ultimately ",Streams processId is unstable across restarts resulting in task mass migration.,"There are a few possible ways forward here:  1) generate the processId from the client.id config, if specified. This requires users to set this config and ensure that it's unique to the instance 2) ge"
